Positive,Neutral,Negative,Compound,numQuest,numChars,numPers
0.313,0.687,0,0.807,0,120,2
0,0.851,0.149,-0.5696,0,132,0
0,0.787,0.213,-0.5571,0,105,2
0,1,0,0,0,41,0
0.148,0.537,0.315,-0.3612,0,61,0
0.567,0.433,0,0.7384,0,27,0
0,0.626,0.374,-0.3382,0,31,0
0.438,0.562,0,0.7906,0,68,2
0,0.396,0.604,-0.7269,0,44,1
0,0.222,0.778,-0.7906,0,27,0
0.183,0.366,0.451,-0.4939,0,33,0
0,0.629,0.371,-0.7097,0,75,2
0,1,0,0,0,33,1
0.201,0.728,0.071,0.5798,1,138,5
0.135,0.638,0.228,-0.2946,1,102,2
0.407,0.593,0,0.6705,0,52,1
0.162,0.64,0.198,-0.2127,2,98,0
0.409,0.261,0.33,-0.0258,1,43,0
0.098,0.813,0.089,0.0516,0,122,5
0.132,0.737,0.132,0,0,91,1
0,0.653,0.347,-0.7542,0,100,1
0,1,0,0,1,33,0
0.11,0.685,0.205,-0.2335,0,100,2
0.465,0.463,0.072,0.9295,0,116,2
0.215,0.785,0,0.7213,1,135,1
0.505,0.495,0,0.8807,1,90,2
0.165,0.432,0.403,-0.7243,0,127,10
0.31,0.69,0,0.659,0,82,3
0,1,0,0,0,37,3
0.081,0.612,0.307,-0.792,0,124,4
0.32,0.68,0,0.5093,1,57,0
0.488,0.512,0,0.8883,0,109,3
0.536,0.464,0,0.9288,0,102,2
0,1,0,0,0,52,0
0,0.773,0.227,-0.7633,0,112,0
0.199,0.648,0.153,0,0,91,1
0.305,0.695,0,0.7028,0,75,2
0.429,0.571,0,0.4588,0,39,0
0.343,0.657,0,0.7394,2,88,0
0.201,0.639,0.16,-0.0258,1,102,0
0,0.74,0.26,-0.4451,1,100,0
0.322,0.61,0.069,0.6858,0,134,0
0.295,0.705,0,0.7603,0,131,3
0.466,0.534,0,0.7269,0,64,0
0.203,0.797,0,0.4215,0,85,1
0,0.435,0.565,-0.3818,0,70,3
0.278,0.722,0,0.4738,0,54,0
0.326,0.46,0.215,0.2347,0,73,2
0.355,0.645,0,0.296,0,37,2
0.468,0.532,0,0.792,0,67,0
0.39,0.61,0,0.4926,0,38,0
0,0.829,0.171,-0.4767,0,95,4
0.232,0.688,0.08,0.6617,0,134,3
0.375,0.625,0,0.8625,0,125,4
0.592,0.335,0.073,0.8829,0,64,1
0.534,0.466,0,0.7835,0,59,0
0.499,0.501,0,0.9179,1,116,0
0.165,0.835,0,0.632,0,112,0
0.298,0.323,0.379,-0.25,0,42,0
0.366,0.573,0.061,0.8402,0,113,0
0.236,0.764,0,0.5267,0,96,1
0.132,0.746,0.123,0.0516,0,111,1
0,0.88,0.12,-0.2924,0,95,0
0.421,0.579,0,0.8065,0,82,1
0.294,0.651,0.055,0.7901,0,137,5
0.268,0.732,0,0.7378,1,138,2
0,1,0,0,1,91,0
0,1,0,0,2,95,0
0.259,0.437,0.304,-0.5175,0,104,2
0.455,0.545,0,0.6124,0,51,0
0.411,0.468,0.121,0.6766,0,85,0
0,1,0,0,0,100,3
0.17,0.83,0,0.5994,1,115,2
0,1,0,0,0,49,2
0,1,0,0,0,83,0
0.149,0.851,0,0.2716,0,86,2
0,1,0,0,0,17,0
0.385,0.615,0,0.3612,0,35,0
0.283,0.678,0.04,0.8499,0,137,0
0,1,0,0,40,64,3
0,1,0,0,9,231,5
0,1,0,0,4,175,3
0,0.482,0.518,-0.6486,0,55,0
0.272,0.728,0,0.4767,0,94,3
0,0.61,0.39,-0.4939,0,39,1
0.296,0.704,0,0.2732,0,29,0
0.301,0.699,0,0.6949,1,85,0
0.176,0.58,0.244,-0.1486,0,40,0
0,1,0,0,0,76,3
0,1,0,0,0,108,0
0,0.628,0.372,-0.7712,1,92,0
0.219,0.781,0,0.7096,0,107,1
0.216,0.784,0,0.5553,1,80,0
0.072,0.825,0.103,-0.2225,1,135,0
0,1,0,0,0,73,2
0,0.469,0.531,-0.5267,0,28,0
0.183,0.817,0,0.5719,0,112,3
0.317,0.683,0,0.4184,0,42,0
0,0.805,0.195,-0.34,0,98,3
0,1,0,0,1,43,1
0,0.541,0.459,-0.6249,0,55,2
0,1,0,0,0,65,1
0.14,0.86,0,0.0772,0,43,0
0.232,0.47,0.298,-0.4515,5,122,0
0,1,0,0,0,19,0
0.464,0.536,0,0.6369,0,50,0
0.115,0.539,0.346,-0.7519,0,107,0
0.212,0.788,0,0.2235,0,53,1
0.348,0.652,0,0.8796,0,127,2
0,1,0,0,0,45,0
0.239,0.645,0.116,0.4404,0,72,4
0.208,0.792,0,0.6925,0,125,3
0.174,0.826,0,0.5563,0,131,2
0.182,0.818,0,0.4404,0,82,1
0.198,0.802,0,0.7326,1,131,3
0,1,0,0,0,122,0
0,1,0,0,0,35,0
0.355,0.645,0,0.296,0,36,2
0.109,0.738,0.153,-0.0387,1,132,0
0,1,0,0,0,23,0
0,0.548,0.452,-0.5106,0,30,0
0,1,0,0,4,31,0
0,0.773,0.227,-0.6249,0,93,2
0.511,0.341,0.148,0.636,0,38,1
0.361,0.639,0,0.5445,0,49,0
0,0.726,0.274,-0.631,1,70,1
0,1,0,0,0,63,0
0.405,0.595,0,0.7574,0,74,0
0.108,0.763,0.128,-0.126,0,135,4
0,0.68,0.32,-0.2225,0,41,0
0.21,0.79,0,0.3653,0,132,3
0.397,0.603,0,0.5093,0,38,0
0,1,0,0,0,135,0
0.204,0.796,0,0.6553,2,102,2
0.369,0.631,0,0.7531,0,81,1
0.435,0.342,0.223,0.6932,0,61,2
0,1,0,0,0,56,1
0,0.667,0.333,-0.5423,0,58,0
0.306,0.694,0,0.5473,0,60,1
0.051,0.667,0.282,-0.7096,0,137,2
0.25,0.555,0.195,0.1511,0,48,1
0.201,0.753,0.046,0.649,0,135,0
0.592,0.408,0,0.4404,0,26,0
0,1,0,0,1,45,2
0.297,0.703,0,0.765,0,119,1
0.444,0.556,0,0.4926,0,41,0
0.113,0.714,0.173,-0.25,0,97,3
0,1,0,0,0,21,0
0.423,0.577,0,0.6588,0,48,0
0.385,0.615,0,0.3612,0,38,0
0.278,0.722,0,0.4019,0,48,1
0.118,0.882,0,0.0516,0,60,1
0.344,0.656,0,0.2732,0,44,3
0,1,0,0,0,61,1
0.088,0.388,0.524,-0.9244,0,105,0
0,1,0,0,0,61,0
0.215,0.451,0.334,-0.5307,0,135,11
0.114,0.834,0.052,0.3769,1,138,3
0.294,0.638,0.069,0.68,0,106,0
0,1,0,0,1,140,4
0.341,0.659,0,0.7758,0,101,0
0.318,0.682,0,0.6808,0,76,0
0.437,0.352,0.211,0.5538,0,49,2
0,0.825,0.175,-0.3818,0,121,3
0,0.826,0.174,-0.2732,0,84,0
0,0.667,0.333,-0.4585,1,46,0
0.107,0.893,0,0.2598,0,106,1
0.425,0.575,0,0.5719,0,35,0
0.311,0.388,0.301,0.0258,1,44,0
0.14,0.86,0,0.4753,1,119,0
0,0.824,0.176,-0.4153,0,95,3
0,1,0,0,0,29,0
0,0.476,0.524,-0.296,0,22,0
0,0.93,0.07,-0.1505,0,120,1
0.315,0.685,0,0.5574,0,82,2
0,1,0,0,0,137,3
0.409,0.591,0,0.8074,0,92,0
0.097,0.903,0,0.128,0,99,1
0.279,0.721,0,0.7876,0,136,2
0.137,0.578,0.284,-0.4646,3,62,0
0,1,0,0,1,44,0
0.169,0.831,0,0.7081,0,136,6
0,0.8,0.2,-0.3612,0,67,3
0.323,0.677,0,0.5893,0,56,3
0.313,0.6,0.087,0.5255,1,87,3
0.324,0.676,0,0.6988,0,65,0
0.244,0.756,0,0.4404,0,52,0
0.174,0.826,0,0.5562,0,112,3
0.697,0.303,0,0.8481,0,53,1
0.663,0.337,0,0.7096,0,41,3
0.276,0.724,0,0.6369,0,73,1
0,0.625,0.375,-0.4588,0,38,0
0,1,0,0,0,42,0
0,1,0,0,0,50,0
0,1,0,0,0,26,0
0.62,0.38,0,0.5994,0,30,0
0.201,0.585,0.215,-0.0864,0,98,1
0.151,0.694,0.155,-0.0247,0,127,3
0.407,0.593,0,0.7819,0,98,4
0.248,0.752,0,0.7405,0,108,3
0,1,0,0,0,59,2
0,1,0,0,2,72,0
0.492,0.508,0,0.4404,0,36,0
0,1,0,0,0,23,0
0.423,0.577,0,0.296,0,26,0
0,1,0,0,0,64,1
0,1,0,0,0,38,0
0.225,0.545,0.23,-0.0314,1,107,3
0.75,0.25,0,0.7177,0,30,0
0.196,0.725,0.08,0.4939,0,138,2
0,1,0,0,0,32,0
0,1,0,0,1,68,0
0.249,0.672,0.079,0.6774,0,134,1
0,1,0,0,0,13,0
0.174,0.826,0,0.6124,0,138,4
0.191,0.809,0,0.3802,0,91,1
0,1,0,0,0,52,0
0,0.615,0.385,-0.3612,0,33,0
0.212,0.647,0.141,0.296,0,89,4
0.291,0.709,0,0.5081,0,59,0
0,1,0,0,1,65,0
0.273,0.727,0,0.4588,1,45,0
0.435,0.565,0,0.3212,0,34,0
0,1,0,0,0,40,0
0,0.91,0.09,-0.1957,0,119,3
0,0.711,0.289,-0.4306,5,56,0
0,1,0,0,0,43,0
0.286,0.714,0,0.6124,1,120,1
0.289,0.711,0,0.7574,0,110,3
0,1,0,0,0,46,0
0.28,0.72,0,0.7243,0,90,3
0.38,0.62,0,0.9125,0,125,1
0,1,0,0,0,132,2
0.126,0.874,0,0.3818,0,121,3
0,0.765,0.235,-0.4153,0,49,0
0,1,0,0,0,40,0
0,1,0,0,0,46,0
0,1,0,0,0,21,0
0.423,0.577,0,0.6588,0,55,0
0,1,0,0,0,44,0
0.344,0.656,0,0.6369,0,52,0
0.13,0.87,0,0.4003,1,132,5
0.232,0.659,0.108,0.4599,0,100,0
0.214,0.786,0,0.4588,0,79,0
0.219,0.781,0,0.4215,1,60,0
0.643,0.357,0,0.8398,0,63,3
0.158,0.842,0,0.5229,0,137,0
0,1,0,0,1,64,3
0.172,0.828,0,0.4404,0,85,0
0,1,0,0,4,64,0
0.399,0.601,0,0.8074,0,88,4
0,0.604,0.396,-0.508,0,41,0
0.189,0.699,0.112,0.2732,0,72,0
0.42,0.58,0,0.4404,0,53,0
0.216,0.784,0,0.6996,1,127,3
0.514,0.486,0,0.7424,0,40,1
0,0.771,0.229,-0.6522,1,135,9
0.6,0.4,0,0.8999,0,73,0
0.122,0.741,0.138,-0.0772,0,106,2
0.134,0.866,0,0.4767,1,133,3
0.2,0.8,0,0.3612,0,72,2
0.573,0.427,0,0.7717,0,47,1
0,1,0,0,0,36,0
0,0.5,0.5,-0.4588,0,34,0
0.241,0.759,0,0.4902,0,72,1
0,1,0,0,0,56,3
0,1,0,0,0,90,4
0,0.629,0.371,-0.7959,0,78,0
0.524,0.476,0,0.6705,0,45,0
0,1,0,0,0,43,3
0.744,0.256,0,0.4404,0,19,0
0.174,0.826,0,0.2244,0,65,1
0,0.606,0.394,-0.8765,0,127,0
0,0.787,0.213,-0.2244,0,50,4
0.5,0.5,0,0.4588,0,30,0
0.397,0.411,0.192,0.4588,0,46,0
0.154,0.777,0.069,0.4545,0,130,3
0,1,0,0,0,32,1
0.156,0.568,0.276,-0.3678,0,97,1
0,1,0,0,2,47,0
0.124,0.876,0,0.1779,0,72,2
0,0.821,0.179,-0.3404,0,77,6
0.673,0.327,0,0.9238,1,59,0
0,1,0,0,0,116,0
0.492,0.508,0,0.7003,0,52,1
0,0.843,0.157,-0.0772,0,42,1
0,1,0,0,0,71,0
0.526,0.474,0,0.8802,0,86,0
0.191,0.738,0.072,0.497,0,130,0
0,1,0,0,0,17,0
0,0.876,0.124,-0.3987,0,136,2
0,1,0,0,0,51,0
0.456,0.544,0,0.8119,0,70,2
0.16,0.84,0,0.5233,0,132,1
0.622,0.378,0,0.5095,0,18,0
0.111,0.612,0.277,-0.5173,1,124,1
0,0.833,0.167,-0.4959,0,100,1
0.492,0.508,0,0.4404,0,30,0
0,1,0,0,0,99,3
0.347,0.653,0,0.7052,2,96,0
0.103,0.748,0.149,-0.3129,0,138,0
0.311,0.621,0.068,0.8316,0,138,2
0,1,0,0,0,65,0
0.34,0.435,0.225,0.1513,1,55,2
0.366,0.634,0,0.6826,1,57,0
0,0.837,0.163,-0.6696,1,134,0
0.583,0.417,0,0.4215,0,28,0
0.473,0.527,0,0.8718,0,90,1
0.234,0.606,0.159,0.2481,1,69,1
0,1,0,0,0,79,1
0.555,0.445,0,0.8748,0,68,0
0.188,0.812,0,0.5267,0,141,1
0,0.868,0.132,-0.4389,0,128,7
0.103,0.783,0.114,-0.0387,0,71,0
0.531,0.469,0,0.8367,0,70,1
0,1,0,0,0,51,0
0.09,0.824,0.086,0.0258,0,138,2
0.209,0.791,0,0.7003,0,137,1
0.267,0.733,0,0.6124,0,68,0
0.132,0.868,0,0.4404,0,115,0
0.045,0.836,0.118,-0.4767,0,135,0
0,0.863,0.137,-0.4019,0,99,1
0,0.613,0.387,-0.8024,0,95,2
0,1,0,0,0,50,4
0,0.744,0.256,-0.3412,0,50,2
0.291,0.709,0,0.5719,0,69,2
0.367,0.535,0.098,0.82,3,136,3
0.42,0.58,0,0.4404,0,31,0
0,1,0,0,1,50,3
0.381,0.619,0,0.5719,0,41,0
0.357,0.643,0,0.7269,1,80,0
0,1,0,0,0,77,1
0,1,0,0,0,53,1
0.523,0.477,0,0.2942,0,25,0
0.314,0.686,0,0.8271,0,141,0
0.6,0.4,0,0.4588,0,27,0
0,1,0,0,0,122,1
0.499,0.501,0,0.6114,0,47,0
0.17,0.83,0,0.6239,1,109,0
0.569,0.327,0.105,0.7964,0,55,4
0.391,0.609,0,0.6696,0,43,0
0,0.73,0.27,-0.6643,0,82,1
0,1,0,0,0,45,0
0,1,0,0,0,84,1
0,0.685,0.315,-0.3182,0,43,0
0.574,0.426,0,0.4019,0,24,0
0.639,0.361,0,0.8625,0,71,2
0.558,0.442,0,0.743,0,51,4
0,1,0,0,0,81,3
0,1,0,0,0,61,0
0,1,0,0,1,135,2
0,1,0,0,0,116,1
0.242,0.758,0,0.7506,0,134,1
0,0.606,0.394,-0.0772,0,19,0
0.286,0.714,0,0.779,0,128,8
0.73,0.27,0,0.4019,0,25,0
0.276,0.582,0.142,0.4724,0,72,0
0,1,0,0,0,106,6
0,1,0,0,1,49,0
0,0.931,0.069,-0.1027,0,119,9
0.225,0.775,0,0.4939,1,85,1
0.273,0.727,0,0.7494,0,115,1
0,0.674,0.326,-0.4404,0,44,0
0.118,0.816,0.065,0.3182,0,147,3
0,0.652,0.348,-0.1531,0,29,0
0.26,0.553,0.187,0.4069,0,88,0
0,1,0,0,1,93,0
0,1,0,0,0,33,0
0,0.787,0.213,-0.4019,0,73,1
0.136,0.864,0,0.296,0,80,0
0.077,0.923,0,0.1511,0,147,2
0.509,0.491,0,0.8047,0,58,0
0,0.564,0.436,-0.7345,0,56,3
0,0.687,0.313,-0.4912,0,53,3
0.277,0.723,0,0.3182,1,53,1
0,0.465,0.535,-0.8481,0,68,1
0.482,0.518,0,0.68,0,46,0
0.265,0.735,0,0.5574,1,62,1
0.556,0.444,0,0.3612,0,27,0
0.583,0.417,0,0.4215,0,22,0
0.387,0.613,0,0.8446,1,102,1
0.469,0.531,0,0.5484,3,35,0
0.292,0.708,0,0.5093,0,46,1
0.125,0.875,0,0.25,0,84,0
0.238,0.635,0.127,0.3382,0,59,0
0.133,0.636,0.231,-0.4002,0,72,2
0.433,0.567,0,0.7824,0,64,1
0,0.649,0.351,-0.714,0,77,2
0,1,0,0,0,38,0
0,0.896,0.104,-0.1027,1,73,2
0.306,0.694,0,0.7338,1,86,0
0.166,0.834,0,0.3802,0,131,4
0,1,0,0,0,63,1
0.687,0.313,0,0.6588,0,23,0
0.483,0.517,0,0.4215,0,28,0
0.127,0.873,0,0.1531,0,66,1
0,0.939,0.061,-0.128,0,137,0
0,1,0,0,0,100,2
0.131,0.698,0.17,0.3296,2,119,0
0.298,0.702,0,0.6249,0,77,0
0,1,0,0,1,66,1
0.58,0.42,0,0.784,0,49,0
0.356,0.557,0.087,0.8798,0,116,2
0.073,0.752,0.174,-0.3716,0,134,3
0,0.725,0.275,-0.3923,4,76,1
0,1,0,0,0,115,0
0.122,0.811,0.068,0.296,1,120,2
0.314,0.686,0,0.4939,0,67,11
0.305,0.588,0.107,0.6597,0,96,0
0,1,0,0,0,64,3
0.382,0.618,0,0.4753,0,46,0
0.349,0.54,0.112,0.765,0,125,1
0,1,0,0,0,38,0
0.245,0.575,0.18,0.4003,1,116,0
0,1,0,0,1,34,0
0.13,0.87,0,0.2732,0,76,1
0.501,0.499,0,0.8757,0,70,4
0.08,0.92,0,0.1027,0,113,3
0,0.781,0.219,-0.5647,2,91,0
0,1,0,0,0,76,2
0.305,0.695,0,0.6908,0,90,0
0,0.902,0.098,-0.0772,0,76,1
0,0.656,0.344,-0.2732,0,39,0
0,0.814,0.186,-0.4767,0,109,2
0.622,0.378,0,0.5093,0,26,0
0.158,0.652,0.19,-0.1531,0,84,3
0,1,0,0,0,131,6
0,1,0,0,1,60,0
0.73,0.27,0,0.6597,0,30,1
0.604,0.396,0,0.8932,0,62,3
0.37,0.37,0.259,0.1531,0,27,0
0.525,0.475,0,0.8288,0,56,2
0.167,0.833,0,0.296,0,77,6
0.249,0.751,0,0.4574,0,68,3
0,0.483,0.517,-0.6467,0,36,0
0.153,0.738,0.109,0.2577,0,89,1
0.265,0.735,0,0.2023,0,35,1
0,0.654,0.346,-0.5106,0,67,0
0,1,0,0,1,44,0
0,0.604,0.396,-0.8201,0,56,1
0,1,0,0,0,97,14
0.246,0.754,0,0.5994,0,89,0
0.271,0.647,0.082,0.7506,0,131,1
0.42,0.58,0,0.4404,0,30,0
0.492,0.508,0,0.4404,0,27,0
0,0.694,0.306,-0.296,0,51,0
0,0.896,0.104,-0.296,0,136,3
0,1,0,0,1,57,0
0,0.761,0.239,-0.296,1,45,0
0.744,0.256,0,0.4404,0,21,0
0.482,0.518,0,0.4199,0,43,1
0.677,0.323,0,0.6369,0,19,0
0.262,0.738,0,0.4926,0,63,0
0,0.577,0.423,-0.296,0,27,0
0.19,0.633,0.177,0.0516,0,63,2
0,1,0,0,0,31,0
0.439,0.561,0,0.7407,0,66,1
0.509,0.491,0,0.636,0,49,0
0.285,0.477,0.238,0.126,0,48,1
0.146,0.854,0,0.4404,0,135,2
0.756,0.244,0,0.4753,0,15,0
0,1,0,0,2,84,0
0,0.839,0.161,-0.3612,0,82,1
0.095,0.905,0,0.0387,0,72,1
0.228,0.556,0.216,0.0516,0,70,4
0.185,0.673,0.142,0.1298,0,66,6
0.483,0.517,0,0.8126,0,73,1
0.202,0.798,0,0.4199,0,68,0
0.341,0.659,0,0.3804,0,35,0
0.18,0.82,0,0.5766,0,107,6
0,1,0,0,0,77,2
0.549,0.451,0,0.807,0,51,1
0,1,0,0,0,79,3
0.379,0.621,0,0.6705,0,75,0
0.247,0.753,0,0.3818,1,84,0
0,1,0,0,0,9,0
0,1,0,0,0,135,2
0,1,0,0,0,67,3
0,1,0,0,0,57,3
0,1,0,0,0,50,0
0.158,0.842,0,0.3089,0,83,3
0.512,0.488,0,0.2732,0,23,1
0.064,0.936,0,0.0772,0,118,5
0,1,0,0,0,86,2
0.108,0.736,0.157,-0.2481,0,112,6
0,1,0,0,0,30,3
0.097,0.76,0.143,-0.2695,0,125,0
0,0.879,0.121,-0.296,0,124,3
0,1,0,0,0,138,12
0,0.66,0.34,-0.4753,0,47,1
0.152,0.783,0.065,0.4404,0,120,2
0,1,0,0,0,8,0
0.353,0.647,0,0.7184,0,70,1
0.548,0.452,0,0.8582,0,69,0
0,0.308,0.692,-0.3578,0,38,1
0,0.786,0.214,-0.6115,1,134,1
0.5,0.5,0,0.25,0,34,0
0.44,0.56,0,0.7425,0,81,6
0.277,0.625,0.098,0.6114,0,93,2
0,1,0,0,1,44,0
0,1,0,0,0,53,0
0.19,0.653,0.157,0.1528,0,79,0
0.212,0.788,0,0.5411,0,79,0
0.39,0.61,0,0.4926,0,37,0
0.251,0.749,0,0.6908,0,114,4
0,1,0,0,0,92,1
0,0.763,0.237,-0.5678,0,100,0
0,1,0,0,0,138,0
0,0.795,0.205,-0.7351,0,137,7
0,0.833,0.167,-0.4588,0,117,2
0,1,0,0,0,24,0
0,1,0,0,1,135,6
0.366,0.391,0.243,0.3769,0,62,0
0.143,0.857,0,0.3612,1,88,0
0,1,0,0,0,44,0
0,1,0,0,0,24,0
0.09,0.85,0.06,0.1531,0,135,1
0,0.642,0.358,-0.5994,0,48,0
0.295,0.705,0,0.8481,0,133,2
0.592,0.408,0,0.4404,0,23,0
0,1,0,0,0,24,1
0,1,0,0,3,135,1
0.802,0.198,0,0.8433,0,24,0
0,1,0,0,0,23,0
0,0.747,0.253,-0.4682,2,58,3
0.331,0.547,0.122,0.8168,0,128,0
0.209,0.723,0.068,0.5106,1,138,0
0.315,0.685,0,0.8062,1,100,1
0.469,0.435,0.096,0.8617,1,81,0
0,1,0,0,0,30,0
0,1,0,0,0,37,0
0.216,0.784,0,0.296,0,61,0
0.147,0.769,0.084,0.3901,0,134,0
0.358,0.642,0,0.5994,1,49,1
0.175,0.556,0.27,-0.296,0,66,2
0,0.781,0.219,-0.7088,0,125,2
0.141,0.859,0,0.5093,0,128,0
0.307,0.499,0.195,0.3769,0,65,0
0.292,0.604,0.104,0.7431,0,119,0
0,0.619,0.381,-0.4003,0,46,1
0.061,0.939,0,0.0772,0,127,3
0.172,0.828,0,0.3612,0,72,0
0.161,0.839,0,0.3612,0,81,1
0.123,0.877,0,0.4215,0,135,0
0.101,0.706,0.194,-0.4141,0,137,1
0.206,0.794,0,0.0772,1,40,0
0.174,0.722,0.104,0.2782,0,133,0
0.272,0.378,0.349,-0.0051,0,51,0
0,1,0,0,0,16,0
0.224,0.727,0.048,0.6207,0,136,0
0.269,0.635,0.096,0.5481,0,92,3
0,0.698,0.302,-0.0772,0,24,0
0,1,0,0,0,80,0
0,1,0,0,0,40,0
0.455,0.545,0,0.7192,1,45,0
0.203,0.797,0,0.3164,0,62,3
0,1,0,0,0,34,0
0.17,0.83,0,0.5994,0,130,0
0,1,0,0,0,19,0
0.471,0.529,0,0.7378,0,57,0
0,1,0,0,0,55,3
0,0.887,0.113,-0.4215,0,110,0
0,1,0,0,0,41,0
0.209,0.791,0,0.4404,0,71,2
0.749,0.251,0,0.717,0,26,1
0.218,0.565,0.218,0,0,65,3
0.383,0.617,0,0.8516,0,99,4
0,0.759,0.241,-0.693,0,119,3
0.636,0.364,0,0.7901,0,46,1
0,1,0,0,0,49,0
0.17,0.83,0,0.6249,0,117,4
0,1,0,0,0,103,1
0,1,0,0,0,54,1
0,1,0,0,0,85,1
0,1,0,0,0,75,0
0.153,0.561,0.285,-0.3802,0,88,3
0.27,0.622,0.107,0.5962,0,105,1
0.632,0.368,0,0.8519,0,68,2
0,0.765,0.235,-0.7764,0,138,2
0,1,0,0,0,39,3
0.163,0.837,0,0.1901,0,61,0
0.639,0.361,0,0.5473,0,16,1
0.2,0.643,0.157,0.1531,0,58,0
0.119,0.834,0.047,0.4574,1,127,1
0.33,0.558,0.112,0.7083,0,101,0
0,1,0,0,1,148,2
0.327,0.673,0,0.8293,0,130,2
0,0.533,0.467,-0.3612,0,33,1
0,1,0,0,0,58,0
0,0.885,0.115,-0.3818,0,143,4
0.262,0.738,0,0.7506,0,117,2
0,1,0,0,0,123,2
0.198,0.802,0,0.6369,0,132,1
0.214,0.786,0,0.4588,0,62,1
0,0.526,0.474,-0.5574,0,34,0
0.216,0.784,0,0.5951,0,86,2
0.512,0.488,0,0.6369,0,32,1
0,1,0,0,0,27,2
0,1,0,0,0,99,0
0.351,0.649,0,0.4019,0,40,0
0.226,0.69,0.084,0.4374,0,100,0
0.375,0.625,0,0.34,0,41,0
0.545,0.455,0,0.7178,0,40,0
0.679,0.321,0,0.7473,0,33,0
0,1,0,0,0,13,0
0.452,0.548,0,0.3182,1,43,0
0.279,0.721,0,0.4753,0,52,0
0.313,0.687,0,0.4926,1,51,0
0.217,0.783,0,0.3612,0,64,1
0.247,0.753,0,0.7384,0,137,1
0.277,0.723,0,0.807,0,119,0
0,0.787,0.213,-0.4019,0,74,0
0.308,0.692,0,0.8402,0,132,3
0,1,0,0,1,134,10
0,1,0,0,1,78,0
0.2,0.679,0.121,0.3609,0,98,1
0,1,0,0,0,87,6
0,1,0,0,0,80,2
0.105,0.895,0,0.3802,1,138,1
0,1,0,0,0,27,0
0,1,0,0,0,37,0
0.058,0.842,0.101,-0.2444,0,132,0
0,1,0,0,0,78,0
0.278,0.722,0,0.6597,0,81,3
0.375,0.625,0,0.2023,0,26,0
0,1,0,0,0,81,3
0.533,0.467,0,0.6908,0,46,0
0.256,0.579,0.165,0.2714,0,68,0
0,0.612,0.388,-0.5859,1,52,0
0,1,0,0,0,36,2
0,1,0,0,0,26,0
0.189,0.811,0,0.4215,0,70,1
0.162,0.838,0,0.5093,0,109,2
0.054,0.864,0.083,-0.1959,0,142,2
0,0.853,0.147,-0.2247,1,77,2
0.11,0.89,0,0.1531,0,79,1
0.32,0.539,0.141,0.5667,4,83,1
0,1,0,0,0,80,2
0,1,0,0,1,130,0
0,0.795,0.205,-0.474,0,82,0
0.666,0.334,0,0.6114,0,28,0
0,1,0,0,0,36,0
0.615,0.385,0,0.9153,1,69,0
0,1,0,0,0,120,1
0,1,0,0,0,63,3
0.216,0.63,0.154,0.2244,1,73,0
0,0.933,0.067,-0.128,0,126,2
0,1,0,0,2,79,0
0,1,0,0,1,56,0
0.492,0.508,0,0.4404,0,24,0
0.329,0.671,0,0.8687,0,137,1
0.629,0.371,0,0.7249,0,23,0
0.128,0.521,0.351,-0.7622,2,104,0
0.426,0.574,0,0.7712,0,66,1
0,1,0,0,1,96,0
0.2,0.8,0,0.4588,0,80,1
0,1,0,0,0,38,2
0.174,0.826,0,0.2263,0,67,0
0,1,0,0,0,47,0
0.114,0.786,0.1,0.1027,0,148,4
0,1,0,0,1,63,0
0.26,0.673,0.067,0.6792,0,118,0
0,1,0,0,0,58,0
0.549,0.451,0,0.7263,0,40,0
0.649,0.351,0,0.5719,0,29,0
0,1,0,0,0,48,1
0.341,0.602,0.057,0.8582,0,138,1
0,0.569,0.431,-0.464,0,31,0
0.242,0.537,0.222,0.0571,1,48,0
0,1,0,0,0,63,1
0,0.734,0.266,-0.6113,0,67,1
0,1,0,0,0,42,0
0,0.925,0.075,-0.0772,0,95,1
0.237,0.763,0,0.7088,0,122,1
0.172,0.828,0,0.4019,0,121,5
0,1,0,0,0,59,0
0,0.848,0.152,-0.4674,1,121,4
0.285,0.715,0,0.4926,0,60,1
0.21,0.79,0,0.4926,1,77,0
0,1,0,0,0,18,0
0.214,0.429,0.357,-0.25,0,55,1
0,1,0,0,0,69,0
0.291,0.709,0,0.876,0,136,4
0.791,0.209,0,0.5826,0,23,0
0,0.886,0.114,-0.2023,0,96,0
0.185,0.815,0,0.3612,0,72,0
0.744,0.256,0,0.4404,0,17,0
0.744,0.256,0,0.4404,0,15,0
0.28,0.72,0,0.7901,0,129,2
0.201,0.799,0,0.6476,0,128,5
0,1,0,0,0,34,0
0.487,0.513,0,0.7644,0,81,0
0.492,0.508,0,0.7034,0,46,1
0.205,0.795,0,0.4753,0,78,1
0.147,0.853,0,0.4767,1,105,0
0.706,0.294,0,0.8016,0,36,0
0.326,0.482,0.193,0.3365,0,40,0
0.152,0.783,0.065,0.4404,0,115,2
0.152,0.783,0.065,0.4404,0,116,2
0,1,0,0,0,25,4
0.082,0.772,0.146,-0.3233,0,115,3
0.53,0.47,0,0.5244,0,30,4
0,1,0,0,1,132,1
0.389,0.293,0.318,0.2444,0,37,0
0.592,0.408,0,0.4404,0,21,0
0.35,0.575,0.075,0.6996,0,90,1
0.42,0.58,0,0.4404,0,29,1
